,,,DISTRICTWISE RAINFALL DISTRIBUTION,,,,,,,
S.No.,MET.,SUBDIVISION/ UT,DAY :,22.02.2026,TO,22.02.2026,PERIOD :,01.01.2026,TO,22.02.2026
,STATE/DISTRICT (NAME),,ACTUAL,NORMAL,% DEP.,CAT.,ACTUAL,NORMAL,% DEP.,CAT.
,,,(mm),(mm),,,(mm),(mm),,
40,SULTANPUR,,0,0.3,-100%,NR,1.6,19.6,-92%,LD
41,UNNAO,,0,0.2,-100%,NR,9,26.4,-66%,LD
42,VARANASI,,0,0.1,-100%,NR,0.1,28.3,-99%,LD
11,WEST UTTAR PRADESH,,0,0.1,-100%,NR,19.8,27.4,-28%,D
1,AGRA,,0,0,-100%,NR,9.7,16.5,-41%,D
2,ALIGARH,,0,0,-100%,NR,16.4,23.7,-31%,D
3,AMROHA,,0,0,-100%,NR,30.7,39,-21%,D
4,AURAIYA,,0,0,-100%,NR,6,17.1,-65%,LD
5,BADAUN,,0,0,-100%,NR,13.8,27.1,-49%,D
6,BAGHPAT,,0,0,-100%,NR,41.3,33.7,23%,E
7,BAREILLY,,0,0.2,-100%,NR,28.5,33.3,-14%,N
8,BIJNOR,,0,0.6,-100%,NR,38.1,55.5,-31%,D
9,BULANDSHAHAR,,0,0,-100%,NR,15.7,23.2,-32%,D
10,ETAH,,0,0.1,-100%,NR,14.3,18.2,-21%,D
11,ETAWAH,,0,0,-100%,NR,16.2,18,-10%,N
12,FIROZABAD,,0,0,-100%,NR,23.5,25.6,-8%,N
13,GAUTAM BUDDHA NAGAR,,0,0.3,-100%,NR,4.5,18.7,-76%,LD
14,GHAZIABAD,,0,0.3,-100%,NR,11,19.4,-43%,D
15,HAMIRPUR,,0,0.1,-100%,NR,7.7,22.4,-66%,LD
16,HAPUR,,0,0,-100%,NR,23.8,41.8,-43%,D
17,HATHRAS,,0,0,-100%,NR,11.8,20.2,-42%,D
18,JALAUN,,0,0.1,-100%,NR,10.2,18.6,-45%,D
19,JHANSI,,0,0.2,-100%,NR,8.2,22,-63%,LD
20,KASGANJ,,0,0,-100%,NR,17.4,26,-33%,D
21,LALITPUR,,0,0.1,-100%,NR,21.5,16.1,34%,E
22,MAHOBA,,0,0,-100%,NR,6.3,15.5,-59%,D
23,MAINPURI,,0,0,-100%,NR,9.2,19.4,-53%,D
24,MATHURA,,0,0,-100%,NR,13.3,14.9,-11%,N
25,MEERUT,,0,0.2,-100%,NR,51.8,35.2,47%,E
26,MORADABAD,,0,0.5,-100%,NR,28.7,41.1,-30%,D
27,MUZAFFARNAGAR,,0,0.5,-100%,NR,40.7,41.7,-3%,N
28,PILIBHIT,,0,0.1,-100%,NR,5.8,24,-76%,LD
29,RAMPUR,,0,0,-100%,NR,24.2,29.8,-19%,N
30,SAHARANPUR,,0,1,-100%,NR,23.6,54.8,-57%,D
31,SAMBHAL,,0,0.2,-100%,NR,74.2,26.4,181%,LE
32,SHAHJAHANPUR,,0,0,-100%,NR,9.3,27.6,-66%,LD
